trait locus add_eff epi_loc epi_eff sfs
1 1 -0.0257108191841117 36 0 0.5036
1 2 0.044238748588438 19 0 0.5062
1 3 -0.120390315872196 22 0 0.4953
1 4 -0.0671980205693362 6 0 0.4931
1 5 0.000775038210363871 13 0 0.4997
1 6 0.0303279767236602 4 0 0.5018
1 7 -0.0518047382935601 21 0 0.4964
1 8 -0.262493311050765 51 0 0.4975
1 9 -0.0236768990872083 40 0 0.4942
1 10 -0.131301478958273 56 0 0.4976
1 11 0.00415468005675138 14 0 0.4997
1 12 0.0773721766140713 17 0 0.4962
1 13 0.0845587922338699 5 0 0.4936
1 14 0.241031734497591 11 0 0.4974
1 15 0.0805560143437388 46 0 0.5038
1 16 -0.0835950526460525 64 0 0.5029
1 17 -0.0312610424568501 12 0 0.5064
1 18 0.0620731358439647 59 0 0.5016
1 19 0.162292422760961 2 0 0.5122
1 20 -0.308379887001067 33 0 0.4992
1 21 0.0572858299379952 7 0 0.5089
1 22 -0.0477246095158057 3 0 0.5026
1 23 0.0135901723159943 63 0 0.4969
1 24 -0.180365853140474 32 0 0.4956
1 25 0.11200521123067 45 0 0.4958
1 26 0.0177472984665315 52 0 0.5028
1 27 -0.00249709958340577 39 0 0.5029
1 28 -0.177300744133271 50 0 0.5031
1 29 -0.163665504290246 30 0 0.4994
1 30 0.141460204620445 29 0 0.4989
1 31 0.1554158933262 41 0 0.5021
1 32 0.0381245107315502 24 0 0.5063
1 33 -0.0660270196805078 20 0 0.5039
1 34 0.0664186017711651 54 0 0.5076
1 35 -0.0934206527373576 38 0 0.4973
1 36 -0.0621773389182315 1 0 0.5001
1 37 0.119457478024038 43 0 0.5024
1 38 0.058865464568701 35 0 0.4959
1 39 0.0670068491638829 27 0 0.5048
1 40 -0.00492047059138083 9 0 0.5005
1 41 0.214617972564597 31 0 0.4948
1 42 -0.112903641399055 44 0 0.5058
1 43 -0.0473279400345022 37 0 0.5125
1 44 -0.0227392701577246 42 0 0.4984
1 45 -0.0753055816521235 25 0 0.5028
1 46 -0.109426229632791 15 0 0.5039
1 47 -0.0955782262849936 48 0 0.5062
1 48 0.184241998013973 47 0 0.5028
1 49 0.149665223578446 55 0 0.501
1 50 0.10805965380384 28 0 0.4959
1 51 0.183223917824461 8 0 0.4994
1 52 -0.0943637273174698 26 0 0.4897
1 53 -0.130993493431751 60 0 0.5026
1 54 0.0763811620956482 34 0 0.5001
1 55 -0.14912989401006 49 0 0.4942
1 56 -0.162946904374877 10 0 0.4878
1 57 0.0889162665602511 62 0 0.4975
1 58 -0.0936354143040895 61 0 0.5042
1 59 -0.134543046055083 18 0 0.4961
1 60 0.144226745248864 53 0 0.5052
1 61 0.196108527782933 58 0 0.5076
1 62 0.26232654035586 57 0 0.4934
1 63 0.0641437897465652 23 0 0.4999
1 64 -0.105955375074164 16 0 0.4966
2 1 0.0426327553366794 14 0.0838504051194807 0.5036
2 2 -0.05619331550688 8 -0.143741719910824 0.5062
2 3 0.120692715560249 54 0.0555347594087399 0.4953
2 4 0.0579925637452531 49 0.0464713259659108 0.4931
